environment,framework,success_rate_pct,steps,api_calls,tokens
BoxNet1,CMAS,60.0,13,1,785
BoxNet1,CMAS,60.0,9,1,754
BoxNet1,CMAS,60.0,13,1,787
BoxNet1,CMAS,60.0,13,1,785
BoxNet1,CMAS,60.0,13,1,789
BoxNet1,DMAS,0.0,8,24,492
BoxNet1,DMAS,0.0,8,24,476
BoxNet1,DMAS,0.0,8,24,476
BoxNet1,DMAS,0.0,8,24,476
BoxNet1,DMAS,0.0,8,24,492
BoxNet1,HMAS‑1,80.0,9,9,8341
BoxNet1,HMAS‑1,80.0,11,9,17807
BoxNet1,HMAS‑1,80.0,9,9,11355
BoxNet1,HMAS‑1,80.0,8,9,4425
BoxNet1,HMAS‑1,80.0,9,9,10537
BoxNet1,HMAS‑2,100.0,27,9,1870
BoxNet1,HMAS‑2,100.0,48,9,2082
BoxNet1,HMAS‑2,80.0,16,18,3619
BoxNet1,HMAS‑2,80.0,15,18,3678
BoxNet1,HMAS‑2,100.0,44,9,1946
BoxNet1,ETP,60.0,7,1,787
BoxNet1,ETP,60.0,7,1,754
BoxNet1,ETP,60.0,7,1,787
BoxNet1,ETP,60.0,7,1,768
BoxNet1,ETP,60.0,7,1,754
BoxNet2,CMAS,20.0,8,1,926
BoxNet2,CMAS,40.0,8,1,966
BoxNet2,CMAS,40.0,8,1,948
BoxNet2,CMAS,40.0,8,1,946
BoxNet2,CMAS,40.0,8,1,968
BoxNet2,DMAS,0.0,8,24,700
BoxNet2,DMAS,0.0,8,24,646
BoxNet2,DMAS,0.0,8,24,763
BoxNet2,DMAS,0.0,8,24,646
BoxNet2,DMAS,0.0,8,24,654
BoxNet2,HMAS‑1,40.0,8,9,2943
BoxNet2,HMAS‑1,60.0,8,9,3303
BoxNet2,HMAS‑1,60.0,8,9,3303
BoxNet2,HMAS‑1,60.0,8,9,3303
BoxNet2,HMAS‑1,60.0,8,9,3303
BoxNet2,HMAS‑2,0.0,8,36,6583
BoxNet2,HMAS‑2,40.0,8,9,1684
BoxNet2,HMAS‑2,40.0,8,9,1642
BoxNet2,HMAS‑2,0.0,8,36,6541
BoxNet2,HMAS‑2,0.0,8,36,6541
BoxNet2,ETP,40.0,8,1,972
BoxNet2,ETP,40.0,8,1,943
BoxNet2,ETP,60.0,8,1,939
BoxNet2,ETP,40.0,8,1,948
BoxNet2,ETP,40.0,7,1,975
